Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Sorcery,U,{4}{R}{R},6,,,,0.04,,R
Creature — Elemental,C,{3}{R}{R},5,5,4,,0.01,,R
Basic Land — Forest,C,,0,,,,0.09,,
Land,C,,0,,,,0.16,,WB
Land,C,,0,,,,0.1,,BG
Artifact,U,{1},1,,,,0.6,,
Sorcery,R,{3}{B}{B},5,,,,0.5,,B
Creature — Serpent,C,{4}{U}{U},6,4,6,,0.06,,U
Creature — Human Knight,C,{3}{W},4,2,2,,0.05,,W
Artifact Creature — Gargoyle,U,{3},3,3,3,,0.04,,
Artifact Creature — Construct,C,{5},5,3,5,,0.02,,
Creature — Human Artificer,C,{U},1,1,2,,0.05,,U
Creature — Treefolk,U,{5}{G}{G},7,7,7,,0.09,,G
Creature — Elf Scout,U,{2}{G},3,3,2,,0.05,,G
Sorcery,C,{1}{U},2,,,,0.04,,U
Creature — Spider,C,{3}{G},4,2,4,,0.02,,G
Enchantment — Aura,U,{2}{G},3,,,,0.05,,G
Creature — Dinosaur,R,{G}{G}{G}{G}{G},5,10,10,,2.99,,G
Creature — Goblin Rogue,C,{1}{R},2,1,1,,0.21,,R
Creature — Goblin Warrior,C,{R},1,1,1,,0.14,,R
Creature — Goblin Warrior,R,{2}{R}{R},4,3,3,,3.44,,R
Legendary Creature — Bear,R,{3}{G},4,4,3,,5.98,,G
Creature — Human Pirate,C,{B},1,1,1,,0.3,,B
Creature — Zombie,U,{3}{B},4,2,2,,0.05,,B
Creature — Bird Spirit,R,{4}{B}{B},6,5,5,,0.11,,B
Creature — Zombie Soldier,R,{B}{B},2,3,2,,0.18,,B
Creature — Elf Scout,C,{1}{G},2,2,2,,0.03,,G
Creature — Goblin Shaman,U,{2}{R},3,2,2,,0.24,,R
Creature — Devil,C,{2}{R}{R},4,4,3,,0.04,,R
Creature — Angel,U,{3}{W}{W},5,4,3,,0.09,,W
Sorcery,U,{2}{R}{W},4,,,,0.08,,RW
Enchantment,U,{3}{W},4,,,,0.07,,W
Creature — Elk,C,{1}{G},2,2,1,,0.04,,G
Land,C,,0,,,,0.12,,UR
Creature — Human Assassin,C,{2}{B},3,3,2,,0.04,,B
Creature — Sphinx,U,{5}{U},6,4,4,,0.1,,U
Creature — Minotaur,C,{3}{R},4,3,3,,0.04,,R
Creature — Hydra,R,{X}{G},1,0,0,,1.75,,G
Creature — Zombie Horror,C,{3}{B},4,2,2,,0.03,,B
Instant,R,{B},1,,,,0.16,,B
Enchantment — Aura,C,{1}{B},2,,,,0.02,,B
Creature — Hellion,U,{3}{R},4,7,3,,0.04,,R
Instant,C,{2}{W}{W},4,,,,0.03,,W
Instant,C,{2}{W},3,,,,0.03,,W
Legendary Creature — Human Wizard,R,{1}{B}{B},3,3,3,,0.26,,B
Basic Land — Island,C,,0,,,,0.15,,
Instant,R,{W},1,,,,0.14,,W
Creature — Human Warrior,C,{1}{R},2,2,2,,0.18,,R
Creature — Human Knight,C,{4}{W}{W},6,3,7,,0.01,,W
Enchantment — Aura,U,{4}{W},5,,,,0.02,,W
Enchantment — Aura,C,{1}{W},2,,,,0.03,,W
Legendary Creature — Dragon,R,{4}{R}{R},6,6,6,,4.49,,R
Sorcery,C,{4}{R},5,,,,0.09,,R
Legendary Creature — Human Knight,R,{4}{W}{W},6,3,3,,0.2,,W
Creature — Cat Soldier,U,{W},1,1,1,,0.11,,W
Creature — Cat Soldier,R,{2}{W}{W},4,4,4,,5.94,,W
Sorcery,C,{3}{B}{B},5,,,,0.06,,B
Creature — Elemental Horse,U,{R}{R},2,3,1,,0.05,,R
Instant,U,{1}{R},2,,,,0.09,,R
Legendary Planeswalker — Liliana,M,{3}{B}{B},5,,,4,8.16,,B
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,4,4.45,,B
Enchantment,R,{3}{B}{B},5,,,,2.74,,B
Sorcery,R,{3}{B},4,,,,0.3,,B
Creature — Elf Druid,C,{G},1,1,1,,0.9,,G
Creature — Elephant Soldier,C,{2}{W},3,3,2,,0.03,,W
Enchantment — Aura,C,{2}{W},3,,,,0.02,,W
Sorcery,C,{1}{B},2,,,,0.03,,B
Artifact,R,{3},3,,,,0.51,,
Instant,U,{2}{W},3,,,,0.19,,W
Artifact,C,{3},3,,,,0.09,,
Artifact — Equipment,C,{2},2,,,,0.06,,
Land,C,,0,,,,0.07,,WU
Creature — Human Soldier,R,{2}{W},3,2,2,,0.37,,W
Enchantment — Aura,R,{1}{U},2,,,,0.22,,U
Artifact Creature — Golem,U,{7},7,3,3,,0.1,,
Instant,C,{1}{W},2,,,,0.02,,W
Creature — Human Soldier,U,{2}{W},3,2,3,,0.08,,W
Artifact,U,{2},2,,,,0.08,,
Sorcery,C,{2}{B},3,,,,0.01,,B
Creature — Shapeshifter,U,{2}{U},3,0,0,,0.8,,U
Creature — Merfolk Wizard,R,{U},1,1,1,,0.28,,U
Creature — Merfolk Warrior,C,{U},1,1,1,,1.64,,U
Basic Land — Mountain,C,,0,,,,0.1,,
Instant,U,{1}{B}{B},3,,,,0.08,,B
Creature — Human Wizard,R,{1}{U},2,2,1,,0.1,,U
Instant,C,{1}{G},2,,,,0.04,,G
Instant,M,{5}{U}{U},7,,,,N/A,,U
Legendary Planeswalker — Bolas,M,,4,,,7,20.9,,UBR
Legendary Creature — Elder Dragon,M,{1}{U}{B}{R},4,4,4,,20.9,,UBR
Instant,U,{B},1,,,,0.08,,B
Creature — Human Knight,U,{W},1,2,3,,0.12,,W
Enchantment — Aura,C,{2}{G},3,,,,0.03,,G
Creature — Human Wizard,C,{1}{U},2,1,3,,0.03,,U
Enchantment,M,{7}{U}{U}{U},10,,,,10.55,,U
Creature — Ogre Warrior,C,{2}{R},3,4,2,,0.03,,R
Sorcery,R,{3}{U},4,,,,0.36,,U
Enchantment,R,{3}{B}{B},5,,,,0.59,,B
Creature — Cat Warrior,C,{1}{W},2,3,1,,0.02,,W
Legendary Creature — Elder Dragon,M,{3}{R}{G}{W},6,6,6,,0.81,,WGR
Enchantment,R,{3}{U}{U},5,,,,0.7,,U
Creature — Pegasus,C,{2}{W},3,1,3,,0.03,,W
Creature — Wurm,R,{4}{G}{G}{G},7,7,7,,0.19,,G
Artifact,C,{2},2,,,,0.1,,
Creature — Zombie,R,{B}{B}{B},3,5,5,,0.21,,B
Creature — Nightmare Horse,U,{1}{B}{B},3,2,2,,0.08,,B
Basic Land — Plains,C,,0,,,,0.06,,
Instant,C,{1}{G},2,,,,0.02,,G
Creature — Elf Archer,U,{2}{B}{G},4,2,3,,1.05,,BG
Enchantment — Aura,R,{4}{G}{G},6,,,,0.22,,G
Enchantment,U,{2}{U},3,,,,3.09,,U
Creature — Nightmare Horror,U,{4}{U}{B},6,3,3,,0.04,,UB
Sorcery,C,{1}{G},2,,,,0.05,,G
Instant,C,{3}{R},4,,,,0.2,,R
Creature — Harpy,U,{2}{B},3,1,2,,0.05,,B
Creature — Skeleton Warrior,U,{1}{B},2,1,1,,0.25,,B
Creature — Elf Shaman,U,{2}{G},3,2,1,,0.23,,G
Sorcery,U,{2}{G},3,,,,0.09,,G
Creature — Vampire Soldier,U,{3}{W}{B},5,2,4,,0.12,,WB
Land,U,,0,,,,2.77,,
Creature — Spirit Cleric,R,{1}{W},2,2,1,,0.34,,W
Creature — Angel,M,{1}{W}{W},3,3,3,,28.88,,W
Instant,C,{1}{W},2,,,,0.03,,W
Creature — Rhino Monk,C,{4}{G},5,4,2,,0.02,,G
Creature — Sphinx,R,{4}{U}{U},6,5,5,,0.1,,U
Sorcery,U,{4}{B},5,,,,0.1,,B
Artifact — Equipment,U,{2},2,,,,0.18,,
Instant,C,{1}{G},2,,,,0.04,,G
Creature — Dinosaur,R,{1}{G}{G},3,2,5,,2.97,,G
Land,U,,0,,,,0.12,,
Creature — Bird,C,{W},1,1,2,,0.06,,W
Legendary Creature — Human Artificer,R,{2}{U},3,1,4,,2.08,,U
Creature — Merfolk Wizard,C,{3}{U}{U},5,2,2,,0.06,,U
Legendary Planeswalker — Sarkhan,M,{4}{R}{R},6,,,5,21.69,,R
Legendary Planeswalker — Sarkhan,M,{1}{R}{R},3,,,3,10.03,,R
Sorcery,R,{3}{R}{R},5,,,,0.16,,R
Enchantment,R,{3}{R},4,,,,0.65,,R
Creature — Dragon,U,{2}{R},3,2,2,,0.49,,R
Creature — Satyr Druid,U,{1}{G}{W},3,2,2,,0.9,,GW
Sorcery,M,{2}{G}{G},4,,,,20.92,,G
Creature — Human Artificer,C,{3}{U},4,3,2,,0.02,,U
Creature — Angel,R,{4}{W}{W},6,5,5,,0.29,,W
Creature — Horse,U,{1}{W}{W},3,2,3,,0.09,,W
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.12,,R
Instant,C,{R},1,,,,0.06,,R
Creature — Giant Warrior,U,{3}{R}{R},5,6,3,,0.08,,R
Sorcery,U,{3}{U},4,,,,0.05,,U
Artifact — Equipment,R,{3},3,,,,0.61,,
Creature — Griffin,C,{W}{W},2,2,2,,0.25,,W
Creature — Wolf Spirit,R,{3}{G}{G},5,3,3,,0.84,,G
Creature — Skeleton Archer,C,{3}{B},4,3,3,,0.03,,B
Creature — Human Artificer,U,{2}{U},3,1,3,,0.06,,U
Creature — Vampire Soldier,C,{2}{B},3,2,2,,0.04,,B
Creature — Elf Scout,U,{2}{G}{U},4,2,3,,0.06,,GU
Artifact Creature — Thopter,C,{3},3,1,1,,0.12,,
Sorcery,U,{2}{U}{U},4,,,,0.14,,U
Instant,C,{R},1,,,,0.04,,R
Creature — Drake,C,{3}{U},4,3,2,,0.02,,U
Sorcery,C,{1}{B},2,,,,0.13,,B
Creature — Dragon,C,{3}{R}{R},5,3,3,,0.04,,R
Instant,R,{2}{R},3,,,,0.47,,R
Creature — Elk,C,{3}{W},4,3,3,,0.01,,W
Creature — Zombie,U,{B},1,1,1,,4.05,,B
Land,C,,0,,,,0.06,,RW
Instant,C,{3}{B},4,,,,0.02,,B
Land,C,,0,,,,0.14,,UB
Creature — Human Soldier,C,{1}{W},2,2,2,,0.26,,W
Creature — Human Cleric,R,{1}{W},2,1,4,,0.16,,W
Creature — Spirit,R,{1}{U},2,1,3,,0.45,,U
Instant,C,{1}{R},2,,,,0.03,,R
Creature — Horse Fish,U,{U}{U},2,0,5,,0.06,,U
Artifact Creature — Wall,U,{2},2,0,4,,0.11,,
Basic Land — Swamp,C,,0,,,,0.07,,
Sorcery,U,{4}{U},5,,,,0.06,,U
Sorcery,C,{1}{W},2,,,,0.03,,W
Enchantment — Aura,C,{1}{G},2,,,,0.06,,G
Creature — Zombie Jackal,C,{1}{B},2,1,2,,0.21,,B
Sorcery,U,{3}{R},4,,,,0.05,,R
Legendary Planeswalker — Tezzeret,M,{3}{U}{U},5,,,5,3.14,,U
Legendary Planeswalker — Tezzeret,M,{4}{U}{U},6,,,4,1.34,,U
Artifact,R,{4},4,,,,0.28,,U
Artifact Creature — Golem,U,{3},3,3,1,,0.14,,
Creature — Elf Warrior,R,{1}{G},2,2,3,,0.13,,G
Creature — Wolf,C,{4}{G},5,4,5,,0.01,,G
Sorcery,U,{R},1,,,,0.29,,R
Land,C,,0,,,,0.09,,GR
Instant,C,{1}{G},2,,,,0.02,,G
Creature — Human Wizard,C,{2}{U},3,2,3,,0.04,,U
Sorcery,C,{1}{R},2,,,,0.04,,R
Instant,C,{4}{U},5,,,,0.01,,U
Land,C,,0,,,,0.11,,GW
Artifact,R,{3},3,,,,0.28,,
Instant,C,{2}{R},3,,,,0.02,,R
Creature — Beast,C,{2}{W},3,2,3,,0.02,,W
Creature — Zombie,C,{3}{B},4,4,2,,0.03,,B
Instant,C,{2}{U},3,,,,0.02,,U
Creature — Human Berserker,C,{1}{G},2,2,2,,0.19,,G
Legendary Creature — Elder Dragon,M,{3}{B}{R}{G},6,6,6,,1.32,,BGR
Creature — Human Knight,R,{3}{W},4,3,4,,0.33,,W
Creature — Vampire,C,{B},1,0,3,,0.09,,B
Creature — Vampire Noble,U,{3}{B}{B},5,3,4,,0.1,,B
Creature — Viashino Wizard,C,{1}{R},2,2,1,,0.11,,R
Creature — Beast,U,{3}{G}{G},5,5,5,,0.08,,G
Creature — Elemental Horse,U,{2}{G}{G},4,5,3,,0.15,,G
Legendary Planeswalker — Vivien,M,{4}{G}{G},6,,,5,2.29,,G
Legendary Planeswalker — Vivien,M,{3}{G}{G},5,,,5,1.84,,G
Sorcery,R,{5}{G}{G},7,,,,0.08,,G
Creature — Cat Spirit,U,{2}{G},3,3,2,,0.22,,G
Creature — Dragon,U,{4}{R}{R},6,4,4,,0.06,,R
Creature — Goblin Warrior,U,{3}{R},4,4,2,,0.17,,R
Creature — Zombie,C,{1}{B},2,2,2,,0.03,,B
Creature — Wall,C,{1}{U},2,0,5,,0.03,,U
Creature — Plant Wall,C,{G},1,0,3,,0.05,,G
Enchantment — Aura,C,{1}{U}{U},3,,,,0.31,,U
Creature — Sphinx,R,{5}{U}{U},7,3,7,,0.42,,U
Land,C,,0,,,,0.08,,GU
Sorcery,C,{2}{R},3,,,,0.02,,R
Sorcery,C,{2}{W},3,,,,0.02,,W
Instant,U,{1}{U},2,,,,0.48,,U
Creature — Human Rogue,R,{5}{U}{U},7,2,3,,5.7,,U
Creature — Elephant,R,{3}{G}{G}{G},6,8,8,,0.41,,G
Sorcery,C,{3}{B},4,,,,0.03,,B
Creature — Elemental,U,{3}{U}{U},5,4,4,,0.02,,U
Legendary Planeswalker — Ajani,M,{4}{W}{W},6,,,5,N/A,,W
Legendary Planeswalker — Ajani,M,{2}{W}{W},4,,,5,9.11,,W
Artifact — Equipment,U,{1}{W},2,,,,0.04,,W
Creature — Angel,U,{2}{W},3,2,2,,1.69,,W
Enchantment — Aura,C,{1}{W},2,,,,0.02,,W
Creature — Angel,R,{4}{W}{W},6,5,5,,6.52,,W
Instant,C,{1}{U},2,,,,0.03,,U
Artifact Creature — Bird,C,{4},4,2,1,,0.02,,
Creature — Human Cleric,U,{1}{W},2,2,1,,0.06,,W
Legendary Creature — Sphinx,R,{3}{U}{U}{U},6,4,5,,0.22,,U
Creature — Human Rogue,C,{2}{B},3,2,2,,0.14,,B
Artifact,R,{1},1,,,,0.16,,
Creature — Troll,U,{G}{G},2,2,2,,0.13,,G
Creature — Vampire,C,{2}{B},3,3,2,,0.03,,B
Creature — Bat,C,{3}{B},4,3,1,,0.23,,B
Creature — Dwarf Soldier,C,{2}{W},3,3,2,,0.13,,W
Creature — Human Soldier,C,{2}{W},3,2,2,,0.02,,W
Instant,C,{2}{U},3,,,,0.04,,U
Creature — Human Cleric,R,{W}{W},2,1,4,,5.43,,W
Instant,C,{1}{B},2,,,,0.02,,B
Creature — Insect,U,{1}{B},2,1,1,,0.36,,B
Creature — Vampire Rogue,C,{1}{B},2,2,2,,0.04,,B
Sorcery,U,{3}{B},4,,,,0.47,,B
Land,C,,0,,,,0.09,,BR
Artifact,U,{4}{B}{B},6,,,,0.05,,B
Creature — Vampire Rogue,U,{1}{B}{B},3,2,3,,0.25,,B
Land,C,,0,,,,0.07,,GW
Creature — Beast,C,{4}{B}{B},6,6,5,,0.38,,B
Sorcery,C,{B},1,,,,0.05,,B
Instant,C,{2}{U}{U},4,,,,0.03,,U
Creature — Human Wizard,C,{3}{B}{B},5,3,3,,0.02,,B
Creature — Elemental,C,{4}{U},5,3,4,,0.02,,U
Creature — Elf Scout,C,{3}{G},4,2,4,,0.02,,G
Creature — Merfolk Pirate,U,{1}{U},2,2,1,,0.1,,U
Creature — Boar,C,{3}{G},4,4,3,,0.18,,G
Instant,R,{W}{W},2,,,,1.91,,W
Creature — Spider,C,{1}{G},2,1,3,,0.24,,G
Sorcery,U,{4}{U}{U},6,,,,0.03,,U
Creature — Elemental Knight,M,{2}{W}{W}{W},5,4,6,,2.69,,W
Creature — Elemental Knight,M,{2}{R}{R}{R},5,6,5,,6.98,,R
Creature — Elemental Knight,M,{2}{U}{U}{U},5,5,5,,1.7,,U
Creature — Elemental Knight,M,{2}{B}{B}{B},5,4,5,,1.27,,B
Creature — Elemental Knight,M,{2}{G}{G}{G},5,5,6,,13.65,,G
Creature — Bird Spirit,C,{2}{U}{U},4,3,2,,0.16,,U
Creature — Centaur Warrior,C,{2}{G},3,3,3,,0.01,,G
Creature — Drake,U,{1}{U},2,1,1,,0.15,,U
Legendary Planeswalker — Chandra,R,{1}{R}{R},3,,,4,1.05,,R
Legendary Planeswalker — Chandra,M,{4}{R}{R},6,,,6,11.91,,R
Legendary Planeswalker — Chandra,M,{4}{R}{R},6,,,4,N/A,,R
Legendary Planeswalker — Chandra,U,{3}{R},4,,,5,0.24,,R
Creature — Elemental Cat,C,{1}{R},2,2,2,,0.05,,R
Sorcery,R,{3}{R}{R},5,,,,0.29,,R
Instant,C,{2}{R}{R},4,,,,0.02,,R
Legendary Artifact,R,{1}{R},2,,,,0.21,,R
Creature — Elemental,U,{2}{R},3,1,3,,0.1,,R
Creature — Elemental Wizard,C,{2}{U},3,2,1,,0.08,,U
Artifact — Equipment,U,{1},1,,,,1.24,,
Creature — Pegasus,C,{1}{W},2,1,3,,0.12,,W
Instant,C,{2}{U},3,,,,0.02,,U
Creature — Merfolk,C,{1}{U},2,2,1,,0.3,,U
Creature — Zombie Knight,U,{W}{B},2,2,2,,1.39,,WB
Creature — Elemental,U,{R}{G},2,2,2,,0.11,,GR
Land,U,,0,,,,0.14,,
Creature — Goblin,C,{3}{R},4,3,2,,0.02,,R
Instant,C,{1}{B},2,,,,0.14,,B
Creature — Angel,C,{4}{W},5,3,2,,0.07,,W
Creature — Human Cleric,C,{1}{W},2,1,3,,0.03,,W
Creature — Goblin,C,{2}{R},3,3,2,,0.02,,R
Sorcery,U,{1}{W},2,,,,0.04,,W
Artifact Creature — Knight,U,{3},3,1,1,,0.1,,
Instant,C,{1}{W},2,,,,0.06,,W
Sorcery,C,{B},1,,,,1.24,,B
Instant,U,{B},1,,,,0.04,,B
Land,C,,0,,,,0.11,,UB
Artifact,U,{4},4,,,,0.03,,
Creature — Dragon Wizard,U,{5}{R}{R},7,5,5,,0.32,,R
Legendary Creature — Dragon,R,{4}{R}{R}{R},7,7,7,,0.96,,R
Sorcery,R,{2}{U}{U},4,,,,0.11,,U
Creature — Nightmare,R,{3}{B},4,3,3,,3.86,,B
Creature — Spirit,R,{2}{U}{U},4,3,3,,0.13,,U
Sorcery,C,{B},1,,,,0.04,,B
Creature — Elf Warrior,R,{G},1,1,2,,8.18,,G
Creature — Goblin,U,{R}{R},2,2,2,,0.03,,R
Creature — Demon,R,{1}{B}{B},3,0,0,,0.36,,B
Creature — Bird Spirit,U,{1}{W}{U},3,2,3,,0.27,,WU
Sorcery,C,{2}{R}{R},4,,,,0.28,,R
Creature — Vampire,C,{4}{B},5,4,4,,0.08,,B
Sorcery,U,{1}{W},2,,,,0.04,,W
Creature — Elk Spirit,R,{3}{G}{G},5,3,3,,0.25,,G
Land,C,,0,,,,0.1,,
Creature — Faerie Rogue,C,{U},1,1,1,,0.09,,U
Creature — Human Pirate,C,{3}{B},4,3,3,,0.01,,B
Creature — Human Warrior,C,{2}{R},3,3,2,,0.71,,R
Creature — Human Soldier,U,{1}{W},2,1,1,,0.02,,W
Creature — Thrull,C,{5}{B},6,5,5,,0.02,,B
Enchantment — Aura,C,{2}{G},3,,,,0.02,,G
Creature — Wolf,C,{2}{G},3,0,1,,0.06,,G
Land,R,,0,,,,19.96,,
Creature — Elemental,C,{3}{R}{R},5,5,4,,0.01,,R
Instant,U,{2}{R},3,,,,0.08,,R
Sorcery,R,{4}{U}{U},6,,,,0.88,,U
Basic Land — Forest,C,,0,,,,0.07,,
Creature — Crab,C,{3}{U},4,1,6,,0.02,,U
Creature — Lizard,C,{G},1,1,1,,0.47,,G
Creature — Serpent,C,{4}{U}{U},6,4,6,,0.01,,U
Creature — Elemental Cat,C,{2}{U},3,2,2,,0.01,,U
Instant,U,{1}{R},2,,,,0.18,,R
Legendary Creature — Hydra,R,{3}{G}{G}{G},6,8,7,,0.58,,G
Enchantment — Aura,U,{2}{W},3,,,,0.11,,W
Enchantment — Aura,C,{2}{G},3,,,,0.02,,G
Enchantment — Aura,C,{W},1,,,,0.03,,W
Creature — Minotaur Pirate,R,{1}{R}{R},3,2,4,,1.88,,R
Creature — Rhino,U,{2}{G}{G},4,4,4,,0.33,,G
Creature — Goblin Warrior,C,{1}{R},2,2,2,,0.31,,R
Creature — Goblin,C,{1}{R},2,2,1,,0.02,,R
Creature — Goblin,U,{3}{R},4,2,2,,0.29,,R
Creature — Goblin Rogue,C,{2}{R},3,2,2,,0.04,,R
Instant,U,{W},1,,,,0.11,,W
Creature — Griffin,R,{3}{W}{W},5,3,2,,0.22,,W
Legendary Artifact Creature — Scout,R,{5},5,3,5,,1.31,,WUBGR
Creature — Bird,C,{2}{B},3,2,2,,0.04,,B
Artifact,R,{1},1,,,,1.93,,
Creature — Zombie,U,{3}{B},4,2,2,,0.08,,B
Creature — Bird Spirit,R,{4}{B}{B},6,5,5,,0.15,,B
Creature — Elf Scout,C,{1}{G},2,2,2,,0.01,,G
Creature — Griffin,C,{3}{W},4,2,3,,0.03,,W
Creature — Griffin,C,{2}{W},3,1,3,,0.03,,W
Instant,C,{1}{G},2,,,,0.02,,G
Creature — Orc Warrior,U,{3}{B}{B},5,3,3,,0.03,,B
Creature — Human Soldier,C,{2}{W},3,3,2,,0.16,,W
Creature — Spirit,R,{2}{W},3,1,1,,0.15,,W
Enchantment — Aura,U,{U},1,,,,0.03,,U
Creature — Elemental,C,{G},1,1,2,,0.05,,G
Artifact — Equipment,C,{2},2,,,,0.04,,
Creature — Angel,U,{4}{W}{W},6,4,4,,0.04,,W
Creature — Minotaur,C,{3}{R},4,3,3,,0.23,,R
Creature — Giant Druid,U,{5}{G}{G},7,5,5,,0.02,,G
Artifact,R,{3},3,,,,1.43,,
Creature — Phoenix,R,{4}{R}{R},6,5,3,,2.25,,R
Creature — Human Cleric,C,{1}{W},2,2,2,,1.46,,W
Creature — Human Knight,C,{3}{W},4,1,5,,0.33,,W
Instant,C,{R},1,,,,0.04,,R
Instant,C,{2}{W}{W},4,,,,0.01,,W
Creature — Human Knight,C,{3}{W},4,3,3,,0.02,,W
Creature — Beast,C,{3}{W},4,2,5,,0.16,,W
Creature — Treefolk Soldier,U,{1}{G}{W},3,*,5,,0.07,,GW
Basic Land — Island,C,,0,,,,0.08,,
Land,C,,0,,,,0.09,,BG
Legendary Creature — Human Cleric,M,{R}{W}{B},3,3,3,,4.04,,RWB
Creature — Human Warrior,C,{2}{R}{R},4,4,3,,0.03,,R
